Company,HQ Location,Year Founded,Sector,Deal Date,Deal Stage,Total Capital Raised to date,Deal Size,Valuation,Investors,Investor Mix,Year
247Solar,"Great Falls, VA",2015.0,Renewables,2022-11-30,Series A,12.5,3.5,40.0,Safar Partners,VC Only,2022.0
247Solar,"Great Falls, VA",2015.0,Renewables,2024-12-31,Series A,20.5,8.0,0.0,COCONUT GROVE; First Financial Bankshares; M10Lean capital; Mintz,VC Only,2024.0
Aanika,"New York, NY",2018.0,Food & Ag,2020-02-18,Seed,2.63,2.5,7.93,Alex Chung; Draper Associates; Kabir Misra; RPS Ventures; SOSV,VC Only,2020.0
Aces Delta,"Holladay, UT",2019.0,Hydrogen,2022-06-09,Development capital,650.0,650.0,0.0,"Alberta Investment Management; GIC Private; Haddington Ventures, Manulife Financial; Onterio Teachers Pension Plan ",VC Only,2022.0
Addis Energy,"Somewille, MA",2024.0,Hydrogen,2025-11-17,,17.31,8.41,22.0,At One Ventures; Engine Ventures; Pillar VC,VC Only,2025.0
Advanced Battery Concepts,"Clare, MI",2008.0,LDES,2015-07-22,Series A,8.76,3.09,0.0,BlueWater Angels,Unclassified,2015.0
Advanced Battery Concepts,"Clare, MI",2008.0,LDES,2016-11-25,Series A,11.88,3.12,0.0,BlueWater Angels; RSVP Ventures ,VC Only,2016.0
Aither Systems,"Alien, TX",0.0,LDES,2024-01-01,Development capital,0.0,0.0,0.0,Encap Investments ,VC Only,2024.0
Alva Energy (Commercial Services),"Cambridge, MA",2023.0,Renewables,2025-01-01,Development capital,0.0,0.0,0.0,NGP Energy Capital Management ,VC Only,2025.0
Amai (Food Products),"Vista, CA",2020.0,Food & Ag,2021-03-15,,0.2,0.0,0.0,Chartered Investment Managers ,VC Only,2021.0
Amber Kinetics,"Union City, CA",2009.0,LDES,2024-07-01,Development capital,46.98,0.0,0.0,Innova Capital Partners ,VC Only,2024.0
Amogy,"New York, NY",2020.0,Hydrogen,2023-03-17,Series B,207.94,139.0,589.0,AP Ventures; Aramco Ventures; DCVC; Guernsey Holdings; Korea Zinc; Mitsui & Company; MOL PLUS; SK Innovation; Temasek Holdings; Yanmar Holdings; Zeon Ventures,Mixed,2023.0
Amogy,"New York, NY",2020.0,Hydrogen,2025-07-15,Series B,314.16,95.0,700.0,AFW Partners; AP Ventures; Aramco Ventures; BHP Ventures; KDB Investment; SV Investment; MOL PLUS; Yanmar Holdings; Samsung Heavy Industries; BHP Ventures; MOL Switch; JB Investment (Private Equity); GS Engineering & Construction; Xplor Investment; GS Futures; Marunouchi Innovation Partners; Pathway Capital Management; Seoul Investment Partners; AFW Partners; AP Ventures; Odyssey Ventures (London); BonAngels Venture Partners; Quantum Ventures Korea; Kibo Invest; Temasek Holdings; Hanwha Investment & Securities Company; Gorilla Private Equity ,Mixed,2025.0
Ampcera,"San Jose, CA",2017.0,LDES,2018-04-30,Seed,1.0,1.0,10.0,,Unclassified,2018.0
Anesi,TN,2010.0,Buildings,2021-06-11,Series A,3.3,3.3,10.0,Enbridge,Unclassified,2021.0
Anesi,TN,2010.0,Buildings,2022-11-04,Series A,20.8,17.5,36.5,Energy Impact Partners,VC Only,2022.0
Anthro Energy,"Alameda, CA",2020.0,LDES,2021-01-01,Seed,0.53,0.53,2.0,Black Mountain Ventures; Cameron Drummond; Dorm Room Fund,VC Only,2021.0
Antora Energy,"Sunnyuale, CA",2017.0,LDES,2022-09-30,Series B,87.4,30.0,190.4,CalSEED; Keybridge Venture Partners; Overture Climate VC; Reaction Global; StartX,VC Only,2022.0
AtmosZero,"Fort Collins, CO",2021.0,Industrial Decarbonization,2022-12-02,Series A,7.5,3.5,20.0,AENU; Energy Impact Partners ,VC Only,2022.0
Aymium,"Gwinn, MI",2012.0,Industrial Decarbonization,2022-03-01,Development capital,0.0,0.0,0.0,Nippon Steel Trading; Rio Tinto; Sandton Capital Partners; Steel Dynamics,Mixed,2022.0
Baja Carports,"Martinez, CA",1981.0,Renewables,2024-10-01,Development capital,0.0,0.0,0.0,Compass Group Equity Partners ,VC Only,2024.0
